Herd,Year,NonResident,RT,T
Lower Hells Canyon,1996,0,0,0
Lower Hells Canyon,2001,0,0,0
Lower Hells Canyon,2002,0,0,0
Lower Hells Canyon,2003,0,0,0
Lower Hells Canyon,1999,0,0,0
Lower Hells Canyon,2004,0,0,0
Lower Hells Canyon,2005,0,0,0
Lower Hells Canyon,2006,0,0,0
Lower Hells Canyon,2007,0,0,0
Lower Hells Canyon,2008,0,0,0
Lower Hells Canyon,2010,0,0,0
Lower Hells Canyon,2011,0,0,0
Lower Hells Canyon,2012,0,0,0
Lower Hells Canyon,2013,0,0,0
Lower Hells Canyon,2015,0,0,0
Lower Hells Canyon,2014,0,0,0
DowneySaddle,2000,0,0,0
DowneySaddle,1997,0,0,0
DowneySaddle,1995,0,0,0
DowneySaddle,1996,0,0,0
DowneySaddle,2001,0,0,0
DowneySaddle,2002,0,0,0
DowneySaddle,2003,0,0,0
DowneySaddle,1999,0,0,0
DowneySaddle,2004,0,0,0
DowneySaddle,2005,0,0,0
DowneySaddle,2006,0,0,0
DowneySaddle,2007,0,0,0
DowneySaddle,2008,0,0,0
DowneySaddle,2010,0,0,0
DowneySaddle,2011,1,0,1
DowneySaddle,2012,0,0,0
DowneySaddle,2013,0,0,0
DowneySaddle,2015,0,0,0
DowneySaddle,2014,0,0,0
