Herd,Year,Visitors,VisEwes,VisRams,VisR,VisRT,VisT
Lostine,2003,2,2,0,0,0,2
Lostine,2004,2,2,0,0,0,2
Lostine,2005,2,2,0,0,0,2
Lostine,2006,2,2,0,0,0,2
Lostine,2007,2,2,0,0,0,2
Lostine,2008,2,2,0,0,0,2
Lostine,2009,0,0,0,0,0,0
Lostine,2010,0,0,0,0,0,0
Lostine,2011,0,0,0,0,0,0
Lostine,2012,0,0,0,0,0,0
Upper Saddle,1997,0,0,0,0,0,0
Upper Saddle,1998,2,0,2,0,0,2
Upper Saddle,1999,2,2,0,0,1,1
Upper Saddle,2000,7,7,0,0,1,6
Upper Saddle,2001,20,15,5,0,15,5
Upper Saddle,2002,18,13,5,0,14,4
Upper Saddle,2003,11,9,2,0,7,4
Upper Saddle,2004,7,6,1,0,3,4
Upper Saddle,2005,11,10,1,0,10,1
Upper Saddle,2006,10,9,1,1,8,1
Upper Saddle,2007,10,9,1,1,8,1
Upper Saddle,2008,9,8,1,1,7,1
Upper Saddle,2009,6,5,1,1,5,0
Upper Saddle,2010,12,7,5,5,6,1
Upper Saddle,2011,10,5,5,5,5,0
Upper Saddle,2012,9,5,4,5,4,0
Bear Creek,1997,0,0,0,0,0,0
Bear Creek,1998,0,0,0,0,0,0
Bear Creek,1999,0,0,0,0,0,0
Bear Creek,2000,12,8,4,0,0,12
Bear Creek,2001,1,1,0,0,0,1
Bear Creek,2002,1,1,0,0,0,1
Bear Creek,2003,1,1,0,0,0,1
Bear Creek,2004,0,0,0,0,0,0
Bear Creek,2005,0,0,0,0,0,0
Bear Creek,2006,0,0,0,0,0,0
Bear Creek,2007,1,0,1,1,0,0
Bear Creek,2008,0,0,0,0,0,0
Bear Creek,2009,0,0,0,0,0,0
Bear Creek,2010,0,0,0,0,0,0
Bear Creek,2011,0,0,0,0,0,0
Bear Creek,2012,0,0,0,0,0,0
Myers Creek,1997,0,0,0,0,0,0
Myers Creek,1998,0,0,0,0,0,0
Myers Creek,1999,3,3,0,0,0,3
Myers Creek,2000,0,0,0,0,0,0
Myers Creek,2001,3,3,0,0,0,3
Myers Creek,2002,13,10,3,0,8,5
Myers Creek,2003,2,2,0,0,1,1
Myers Creek,2004,1,1,0,0,0,1
Myers Creek,2005,4,4,0,0,1,3
Myers Creek,2006,1,1,0,0,1,0
Myers Creek,2007,1,1,0,0,1,0
Myers Creek,2008,1,1,0,0,1,0
Myers Creek,2009,1,1,0,0,1,0
Myers Creek,2010,5,3,2,3,2,0
Myers Creek,2011,2,0,2,2,0,0
Myers Creek,2012,2,0,2,2,0,0
Imnaha,1997,0,0,0,0,0,0
Imnaha,1998,2,2,0,0,0,2
Imnaha,1999,6,2,4,0,0,6
Imnaha,2000,10,4,6,0,0,10
Imnaha,2001,8,3,5,0,0,8
Imnaha,2002,0,0,0,0,0,0
Imnaha,2003,1,0,1,0,0,1
Imnaha,2004,2,0,2,0,1,1
Imnaha,2005,8,5,3,0,6,2
Imnaha,2006,6,4,2,0,4,2
Imnaha,2007,1,0,1,0,0,1
Imnaha,2008,0,0,0,0,0,0
Imnaha,2009,0,0,0,0,0,0
Imnaha,2010,0,0,0,0,0,0
Imnaha,2011,0,0,0,0,0,0
Imnaha,2012,2,2,0,2,0,0
Muir Creek,1997,0,0,0,0,0,0
Muir Creek,1998,0,0,0,0,0,0
Muir Creek,1999,1,0,1,0,0,1
Muir Creek,2000,3,0,3,0,0,3
Muir Creek,2001,2,0,2,0,0,2
Muir Creek,2002,16,10,6,0,8,8
Muir Creek,2003,12,8,4,0,3,9
Muir Creek,2004,12,11,1,0,3,9
Muir Creek,2005,12,10,2,0,3,9
Muir Creek,2006,10,8,2,0,4,6
Muir Creek,2007,9,7,2,1,2,6
Muir Creek,2008,8,7,1,0,3,5
Muir Creek,2009,3,3,0,0,1,2
Muir Creek,2010,4,4,0,0,1,3
Muir Creek,2011,0,0,0,0,0,0
Muir Creek,2012,0,0,0,0,0,0
Big Canyon,1997,0,0,0,0,0,0
Big Canyon,1998,0,0,0,0,0,0
Big Canyon,1999,8,7,1,0,0,8
Big Canyon,2000,6,5,1,0,0,6
Big Canyon,2001,3,2,1,0,0,3
Big Canyon,2002,10,6,4,0,0,10
Big Canyon,2003,12,8,4,0,3,9
Big Canyon,2004,5,3,2,0,1,4
Big Canyon,2005,1,0,1,0,1,0
Big Canyon,2006,1,0,1,0,1,0
Big Canyon,2007,1,0,1,0,1,0
Big Canyon,2008,1,0,1,0,1,0
Big Canyon,2009,0,0,0,0,0,0
Big Canyon,2010,1,0,1,1,0,0
Big Canyon,2011,1,0,1,1,0,0
Big Canyon,2012,1,0,1,1,0,0
Lower Hells Canyon,1997,0,0,0,0,0,0
Lower Hells Canyon,1998,0,0,0,0,0,0
Lower Hells Canyon,1999,0,0,0,0,0,0
Lower Hells Canyon,2000,19,11,8,15,0,4
Lower Hells Canyon,2001,9,6,3,9,0,0
Lower Hells Canyon,2002,11,6,5,10,0,1
Lower Hells Canyon,2003,10,7,3,9,0,1
Lower Hells Canyon,2004,10,6,4,8,1,1
Lower Hells Canyon,2005,6,4,2,6,0,0
Lower Hells Canyon,2006,11,7,4,11,0,0
Lower Hells Canyon,2007,9,6,3,9,0,0
Lower Hells Canyon,2008,8,4,4,8,0,0
Lower Hells Canyon,2009,4,4,0,4,0,0
Lower Hells Canyon,2010,12,9,3,12,0,0
Lower Hells Canyon,2011,8,7,1,8,0,0
Lower Hells Canyon,2012,15,13,2,8,0,7
Black Butte,1997,0,0,0,0,0,0
Black Butte,1998,0,0,0,0,0,0
Black Butte,1999,0,0,0,0,0,0
Black Butte,2000,0,0,0,0,0,0
Black Butte,2001,0,0,0,0,0,0
Black Butte,2002,0,0,0,0,0,0
Black Butte,2003,0,0,0,0,0,0
Black Butte,2004,0,0,0,0,0,0
Black Butte,2005,0,0,0,0,0,0
Black Butte,2006,0,0,0,0,0,0
Black Butte,2007,0,0,0,0,0,0
Black Butte,2008,0,0,0,0,0,0
Black Butte,2009,0,0,0,0,0,0
Black Butte,2010,0,0,0,0,0,0
Black Butte,2011,0,0,0,0,0,0
Black Butte,2012,20,12,8,17,0,3
Wenaha,1997,0,0,0,0,0,0
Wenaha,1998,0,0,0,0,0,0
Wenaha,1999,0,0,0,0,0,0
Wenaha,2000,8,5,3,0,0,8
Wenaha,2001,5,2,3,0,0,5
Wenaha,2002,0,0,0,0,0,0
Wenaha,2003,0,0,0,0,0,0
Wenaha,2004,0,0,0,0,0,0
Wenaha,2005,0,0,0,0,0,0
Wenaha,2006,5,3,2,5,0,0
Wenaha,2007,2,0,2,2,0,0
Wenaha,2008,2,0,2,2,0,0
Wenaha,2009,1,0,1,1,0,0
Wenaha,2010,3,2,1,3,0,0
Wenaha,2011,1,0,1,1,0,0
Wenaha,2012,1,0,1,1,0,0
Redbird,1997,0,0,0,0,0,0
Redbird,1998,0,0,0,0,0,0
Redbird,1999,2,2,0,2,0,0
Redbird,2000,1,1,0,1,0,0
